date,open,high,low,close,adj close,volume
2015-01-02,268.04000854492193,270.0,264.20001220703125,264.20001220703125,264.20001220703125,0
2015-01-05,266.79998779296875,280.0,260.39999389648443,269.20001220703125,269.20001220703125,400
2015-01-06,269.20001220703125,280.0,264.44000244140625,272.79998779296875,272.79998779296875,500
2015-01-07,273.20001220703125,287.6000061035156,270.60000610351557,280.39999389648443,280.39999389648443,1800
2015-01-08,287.44000244140625,314.79998779296875,286.0,308.0,308.0,2000
2015-01-09,311.20001220703125,332.0,299.20001220703125,312.79998779296875,312.79998779296875,1700
2015-01-12,316.0,344.0,302.79998779296875,312.0,312.0,1000
2015-01-13,326.79998779296875,329.20001220703125,320.0,328.0,328.0,400
2015-01-14,320.0,320.0,300.3999938964844,318.79998779296875,318.79998779296875,300
2015-01-15,325.6000061035156,325.6000061035156,302.3999938964844,320.3999938964844,320.3999938964844,300
2015-01-16,312.79998779296875,319.20001220703125,312.3999938964844,312.3999938964844,312.3999938964844,0
2015-01-20,310.79998779296875,310.79998779296875,294.0,302.79998779296875,302.79998779296875,200
2015-01-21,316.0,317.6000061035156,308.0,310.3999938964844,310.3999938964844,200
2015-01-22,308.0,330.79998779296875,308.0,321.6000061035156,321.6000061035156,600
2015-01-23,323.20001220703125,331.6000061035156,320.0,324.79998779296875,324.79998779296875,200
2015-01-26,340.0,354.0,336.0,338.0,338.0,1000
2015-01-27,342.3999938964844,344.0,330.0,337.20001220703125,337.20001220703125,300
2015-01-28,342.3999938964844,350.3999938964844,335.20001220703125,338.79998779296875,338.79998779296875,400
2015-01-29,339.20001220703125,340.0,328.79998779296875,331.20001220703125,331.20001220703125,100
2015-01-30,330.3999938964844,331.6000061035156,319.6000061035156,326.0,326.0,200
2015-02-02,342.0,347.5199890136719,324.0,334.79998779296875,334.79998779296875,500
2015-02-03,343.6000061035156,346.79998779296875,294.79998779296875,303.20001220703125,303.20001220703125,1200
2015-02-04,348.0,348.0,300.0,305.6000061035156,305.6000061035156,600
2015-02-05,310.0,320.0,304.0,317.6000061035156,317.6000061035156,800
2015-02-06,332.0,332.0,299.20001220703125,302.79998779296875,302.79998779296875,600
2015-02-09,307.6000061035156,313.6000061035156,296.0,297.20001220703125,297.20001220703125,1200
2015-02-10,302.79998779296875,302.79998779296875,280.0,282.0,282.0,1300
2015-02-11,313.20001220703125,313.20001220703125,276.79998779296875,282.79998779296875,282.79998779296875,1100
2015-02-12,282.79998779296875,299.6000061035156,282.79998779296875,285.0,285.0,400
2015-02-13,286.79998779296875,299.20001220703125,284.0,286.79998779296875,286.79998779296875,100
