date,open,high,low,close,adj close,volume
2015-01-02,150.0,150.0,150.0,150.0,150.0,0
2015-01-05,150.0,150.0,150.0,150.0,150.0,0
2015-01-06,150.0,150.0,150.0,150.0,150.0,0
2015-01-07,150.0,150.0,150.0,150.0,150.0,0
2015-01-08,150.0,150.0,150.0,150.0,150.0,0
2015-01-09,150.0,150.0,150.0,150.0,150.0,0
2015-01-12,150.0,150.0,150.0,150.0,150.0,0
2015-01-13,150.0,150.0,150.0,150.0,150.0,0
2015-01-14,150.0,150.0,150.0,150.0,150.0,0
2015-01-15,150.0,150.0,150.0,150.0,150.0,0
2015-01-16,150.0,150.0,150.0,150.0,150.0,0
2015-01-20,150.0,150.0,150.0,150.0,150.0,0
2015-01-21,150.0,150.0,150.0,150.0,150.0,0
2015-01-22,150.0,150.0,150.0,150.0,150.0,0
2015-01-23,150.0,150.0,150.0,150.0,150.0,0
2015-01-26,150.0,150.0,150.0,150.0,150.0,0
2015-01-27,150.0,150.0,150.0,150.0,150.0,0
2015-01-28,150.0,150.0,150.0,150.0,150.0,0
2015-01-29,150.0,150.0,150.0,150.0,150.0,0
2015-01-30,150.0,150.0,150.0,150.0,150.0,0
2015-02-02,150.0,150.0,150.0,150.0,150.0,0
2015-02-03,150.0,150.0,150.0,150.0,150.0,0
2015-02-04,150.0,150.0,150.0,150.0,150.0,0
2015-02-05,150.0,150.0,150.0,150.0,150.0,0
2015-02-06,150.0,150.0,150.0,150.0,150.0,0
2015-02-09,150.0,150.0,150.0,150.0,150.0,0
2015-02-10,150.0,150.0,150.0,150.0,150.0,0
2015-02-11,150.0,150.0,150.0,150.0,150.0,0
2015-02-12,150.0,150.0,150.0,150.0,150.0,0
2015-02-13,150.0,150.0,150.0,150.0,150.0,0
2015-02-17,150.0,150.0,150.0,150.0,150.0,0
2015-02-18,150.0,150.0,150.0,150.0,150.0,0
2015-02-19,150.0,150.0,150.0,150.0,150.0,0
2015-02-20,150.0,150.0,150.0,150.0,150.0,0
2015-02-23,150.0,150.0,150.0,150.0,150.0,0
2015-02-24,150.0,150.0,150.0,150.0,150.0,0
2015-02-25,150.0,150.0,150.0,150.0,150.0,0
2015-02-26,150.0,150.0,150.0,150.0,150.0,0
2015-02-27,150.0,150.0,150.0,150.0,150.0,0
2015-03-02,150.0,150.0,150.0,150.0,150.0,0
2015-03-03,150.0,150.0,150.0,150.0,150.0,0
2015-03-04,150.0,150.0,150.0,150.0,150.0,0
2015-03-05,150.0,150.0,150.0,150.0,150.0,0
2015-03-06,150.0,150.0,150.0,150.0,150.0,0
2015-03-09,150.0,150.0,150.0,150.0,150.0,0
2015-03-10,150.0,150.0,150.0,150.0,150.0,0
2015-03-11,150.0,150.0,150.0,150.0,150.0,0
2015-03-12,150.0,150.0,150.0,150.0,150.0,0
2015-03-13,150.0,150.0,150.0,150.0,150.0,0
2015-03-16,150.0,150.0,150.0,150.0,150.0,0
2015-03-17,150.0,150.0,150.0,150.0,150.0,0
2015-03-18,150.0,150.0,150.0,150.0,150.0,0
2015-03-19,150.0,150.0,150.0,150.0,150.0,0
2015-03-20,150.0,150.0,150.0,150.0,150.0,0
2015-03-23,150.0,150.0,150.0,150.0,150.0,0
2015-03-24,150.0,150.0,150.0,150.0,150.0,0
2015-03-25,150.0,150.0,150.0,150.0,150.0,0
2015-03-26,150.0,150.0,150.0,150.0,150.0,0
2015-03-27,150.0,150.0,150.0,150.0,150.0,0
2015-03-30,150.0,150.0,150.0,150.0,150.0,0
2015-03-31,150.0,150.0,150.0,150.0,150.0,0
2015-04-01,150.0,150.0,150.0,150.0,150.0,0
2015-04-02,150.0,150.0,150.0,150.0,150.0,0
2015-04-06,150.0,150.0,150.0,150.0,150.0,0
2015-04-07,150.0,150.0,150.0,150.0,150.0,0
2015-04-08,150.0,150.0,150.0,150.0,150.0,0
2015-04-09,150.0,150.0,150.0,150.0,150.0,0
2015-04-10,150.0,150.0,150.0,150.0,150.0,0
2015-04-13,150.0,150.0,150.0,150.0,150.0,0
2015-04-14,150.0,150.0,150.0,150.0,150.0,0
2015-04-15,150.0,150.0,150.0,150.0,150.0,0
2015-04-16,150.0,150.0,150.0,150.0,150.0,0
2015-04-17,150.0,150.0,150.0,150.0,150.0,0
2015-04-20,150.0,150.0,150.0,150.0,150.0,0
2015-04-21,150.0,150.0,150.0,150.0,150.0,0
